Brand,Price,Condition,GPU,Processor_Family,Processor_Speed_GHz,Type,OS,Storage_Type,Storage_GB,Screen_Size_in,RAM_GB,Model_Key
other,303.8,New,intel,other,3.8,notebook/laptop,windows,ssd,1024.0,14.0,8.0,other_other_mid
dell,400.0,Refurbished,intel,i7,4.2,notebook/laptop,windows,ssd,2048.0,14.0,,dell_i7_mid
dell,175.0,Used,intel,i5,2.4,notebook/laptop,windows,ssd,500.0,14.0,16.0,dell_i5_mid
hp,85.0,Refurbished,intel,celeron,2.4,notebook/laptop,chrome,emmc,16.0,11.6,4.0,hp_celeron_small
dell,101.25,Refurbished,other,i5,1.4,notebook/laptop,windows,ssd,256.0,12.5,8.0,dell_i5_mid
acer,50.0,Unknown,other,celeron,1.6,notebook/laptop,chrome,ssd,16.0,11.6,4.0,acer_celeron_small
hp,39.6,Unknown,other,celeron,1.6,notebook/laptop,chrome,ssd,16.0,11.6,4.0,hp_celeron_small
acer,35.0,Unknown,other,celeron,1.0,notebook/laptop,chrome,unknown,16.0,11.6,2.0,acer_celeron_small
dell,280.0,Refurbished,other,i7,2.8,notebook/laptop,windows,ssd,500.0,14.0,16.0,dell_i7_mid
hp,125.0,Unknown,intel,i3,2.1,notebook/laptop,chrome,emmc,64.0,14.0,8.0,hp_i3_mid
lenovo,138.0,Used,intel,i5,1.7,notebook/laptop,windows,ssd,128.0,14.0,16.0,lenovo_i5_mid
samsung,430.5,New,other,i5,,other,unknown,unknown,,13.3,,samsung_i5_mid
acer,70.0,Unknown,intel,celeron,1.1,notebook/laptop,chrome,emmc,32.0,11.6,4.0,acer_celeron_small
other,152.0,New,intel,celeron,2.8,notebook/laptop,windows,ssd,256.0,14.1,8.0,other_celeron_standard
other,244.0,New,intel,i5,3.8,notebook/laptop,windows,hdd/ssd,512.0,14.0,8.0,other_i5_mid
dell,170.0,Used,other,i5,,notebook/laptop,windows,ssd,128.0,2.0,8.0,dell_i5_small
dell,218.0,Used,intel,i5,1.6,notebook/laptop,unknown,ssd,512.0,15.6,16.0,dell_i5_standard
dell,130.0,Used,intel,celeron,1.1,notebook/laptop,windows,ssd,128.0,11.0,4.0,dell_celeron_small
acer,40.0,Used,intel,celeron,1.6,notebook/laptop,chrome,ssd,16.0,11.6,4.0,acer_celeron_small
dell,393.0,Refurbished,intel,i7,4.2,notebook/laptop,windows,ssd,2048.0,14.0,,dell_i7_mid
